,authors,binding,date_published,edition,image,isbn,isbn13,msrp,publish_date,publisher,subjects,synopsys,title,title_long
0,"['Miller', 'Frederic P.', 'Vandome', 'Agnes F.', 'McBrewster', 'John']",,2010,,https://images.isbndb.com/covers/85/23/9786131748523.jpg,6131748527,9786131748523.0,,2010,,,,Random House,Random-house
1,['Stanley Newman'],Paperback,2007,,https://images.isbndb.com/covers/62/61/9780812936261.jpg,0812936264,9780812936261.0,6.95,2007,Random House Puzzles & Games,,"<p><p>whether You&#8217;ve Spent Your Day Weeding The Garden Or Enjoying The Fruits Of Your Labors, It&#8217;s Time To Relax. And What Better Way To Do That Than With The Newest Collection Of Crosswords From Master Puzzler Stanley Newman? Here You&#8217;ll Find 100 Breezy Puzzles That Are Not Too Tough, And Not Too Easy. These Puzzles Are Like A Cool Glass Of Lemonade On A Hot Day&#8211;sweet, Crisp, And Refreshing!</p>",Random House Springtime Crosswords (random House Crosswords),Random House Springtime Crosswords (random House Crosswords)
2,['Unknown'],Paperback,1994,,https://images.isbndb.com/covers/98/79/9780345389879.jpg,0345389875,9780345389879.0,71.84,1994,Ballantine Books,,,Random House Webster's Dictionary Random House Thesaurus,Random House Webster's Dictionary Random House Thesaurus
3,,,,,https://images.isbndb.com/covers/37/06/9780679733706.jpg,0679733701,9780679733706.0,,,,,,Random House Dictionary/random House Rogets Thesaurus,Random_house_dictionary-random_house_rogets_thesaurus
4,['Stanley Newman'],Paperback,2007,,https://images.isbndb.com/covers/62/78/9780812936278.jpg,0812936272,9780812936278.0,6.95,2007,Random House Puzzles & Games,,"<p><p>what Better Way To Cool Down After A Hot Summer Day Than With Cool Summer Nights Crosswords? Perfect For A Relaxing Evening Or A Day By The Side Of The Pool, These 100 Fun Puzzles Of Medium Difficulty, Originally Enjoyed By The Readers Of New York's <i>newsday</i>, Can Now Be Savored By Crossword Puzzlers Everywhere.</p>",Random House Summer Nights Crosswords (random House Crosswords),Random House Summer Nights Crosswords (random House Crosswords)
5,"['Newman', 'Stanley']",Paperback,2007,,https://images.isbndb.com/covers/62/85/9780812936285.jpg,0812936280,9780812936285.0,6.95,2007,Random House Puzzles & Games,,"<p><p>what Better Way To Enjoy The Crisp, Fall Air Than With The Newest Collection Of 100 Charming Puzzles Culled From The Pages Of <i>newsday</i>? These Refreshing Daily-size Puzzles Are Not Too Hard And Not Too Easy, And They Go Great With Apple Cider!</p>",Random House Harvest Moon Crosswords (random House Crosswords),Random House Harvest Moon Crosswords (random House Crosswords)
6,['Stanley Newman'],,1997,,https://images.isbndb.com/covers/76/58/9780812927658.jpg,0812927656,9780812927658.0,,1997,Times Books,,,Random House Lexercise,Random_house_lexercise
7,['Dictionary'],Hardcover,1983,,https://images.isbndb.com/covers/44/28/9780394534428.jpg,0394534425,9780394534428.0,12.95,1983,Random House Reference,,,Random House Dictionary,Random House Dictionary
8,['Crews'],Paperback,1992,6,https://images.isbndb.com/covers/64/27/9780070136427.jpg,0070136424,9780070136427.0,,1992,Mcgraw-hill Companies,,,Random House Handbook,Random House Handbook
9,['Mel Rosen'],,2003/05/01,,https://images.isbndb.com/covers/49/91/9780812934991.jpg,0812934997,9780812934991.0,,,Random House Puzzles & Games,['Literary Collections'],,Random House Crosswords,random_house_crosswords
10,['Mel Rosen'],,2004,,https://images.isbndb.com/covers/50/04/9780812935004.jpg,0812935004,9780812935004.0,,2004,Random House Puzzles & Games,,,Random House Crosswords,Random_house_crosswords
11,['Random House'],Mass Market Paperback,1992,,https://images.isbndb.com/covers/77/84/9780345377784.jpg,0345377788,9780345377784.0,4.99,1992,Ballantine Books,,,Random House Thesaurus,Random House Thesaurus
12,['Frederick Crews'],Hardcover,1992,,https://images.isbndb.com/covers/25/21/9780079112521.jpg,0079112528,9780079112521.0,,1992,Random House,,,Random House Handbook,Random House Handbook
13,"['Surhone', 'Lambert M.', 'Tennoe', 'Mariam T.', 'Henssonow', 'Susan F.']",,,,https://images.isbndb.com/covers/32/40/9786134693240.jpg,6134693243,9786134693240.0,,,,,,Random House Tower,Random-house-tower
14,['Michael Ashley'],,December 2001,,https://images.isbndb.com/covers/39/01/9780812933901.jpg,0812933907,9780812933901.0,,,"Random House, Inc.",['Literary Collections'],,Random House Crostics,random_house_crostics
15,['Mel Rosen'],,2001/06/01,,https://images.isbndb.com/covers/41/51/9780812934151.jpg,0812934156,9780812934151.0,,,Random House Puzzles & Games,['Literary Collections'],,Random House Crosswords,random_house_crosswords
16,['Random House'],,6/8/2004,2,https://images.isbndb.com/covers/58/75/9780375425875.jpg,037542587X,9780375425875.0,,,"New York : Random House Reference, c2004.",['Love Poetry'],,Random House treasury,random_house_treasury
17,['Harry Saffren'],Hardcover,1989,1,https://images.isbndb.com/covers/59/82/9780394845982.jpg,0394845986,9780394845982.0,6.95,1989,Random House Books For Young Readers,,,Random House Dollhouse,Random House Dollhouse
18,['Mel Rosen'],Spiral-bound,2006,,https://images.isbndb.com/covers/67/35/9780812936735.jpg,0812936736,9780812936735.0,9.95,2006,Random House Puzzles & Games,,"<p><p><b>the Perfect Book For Turning Tentative Puzzlers Into Lifelong Fans!</b><br><br>&#8226; 50 Original Puzzles For Beginners And Casual Solvers<br>&#8226; No Tricks, Gimmicks, Wordplay, Or &quot;crosswordese&quot;<br>&#8226; Solver-friendly Hints And Helps Accompanying Each Puzzle</p>","Random House Casual Crosswords, Volume 4 (random House Crosswords)","Random House Casual Crosswords, Volume 4 (random House Crosswords)"
19,['Mel Rosen'],Spiral-bound,2005,,https://images.isbndb.com/covers/66/67/9780812936667.jpg,0812936663,9780812936667.0,9.95,2005,Random House Puzzles & Games,,"<p><p><b>the Perfect Book For Turning Tentative Puzzlers Into Lifelong Fans!</b><br><br>&#8226; 50 Original Puzzles For Beginners And Casual Solvers<br>&#8226; No Tricks, Gimmicks, Wordplay, Or &quot;crosswordese&quot;<br>&#8226; Solver-friendly Hints And Helps Accompanying Each Puzzle</p>","Random House Casual Crosswords, Volume 3 (random House Crosswords)","Random House Casual Crosswords, Volume 3 (random House Crosswords)"
20,"['Mel Rosen', 'Bonnie L. Gentry']",Spiral-bound,2009,,https://images.isbndb.com/covers/33/15/9780375723315.jpg,0375723315,9780375723315.0,9.99,2009,Random House Puzzles & Games,,"<p><p>this Brand-new Collection Of 50 Easy-to-solve Puzzles Is Seventh In The Series. If You&#8217;re A Puzzle Novice Or Just Looking For Solver-friendly Crosswords, These Breezy Puzzles Are Perfect. They Feature&#58;<br><br>&#8226;subtitles To Help Solvers Figure Out Puzzles Themes More Easily<br>&#8226;helpful Hints Within The Clues Like <i>2 Words</i>, <i>hyphenated,</i> And <i>abbr.</i>, And Solve Tips Included With Every Puzzle<br>&#8226;optional &#8220;giveaway&#8221; Answers Are Printed Upside-down On A Different Page (to Remove The Temptation To Peek)</p>","Random House Casual Crosswords, Volume 7 (random House Crosswords)","Random House Casual Crosswords, Volume 7 (random House Crosswords)"
21,"['Rosen', 'Mel']",Spiral-bound,2010-09-14,,https://images.isbndb.com/covers/33/22/9780375723322.jpg,0375723323,9780375723322.0,9.99,,Random House Puzzles & Games,,,"Random House Casual Crosswords, Volume 8 (random House Crosswords)","Random House Casual Crosswords, Volume 8 (random House Crosswords)"
22,['Roger Phillips'],Paperback,1994,,https://images.isbndb.com/covers/02/46/9780679750246.jpg,067975024x,9780679750246.0,25,1994,Random House,,,The Random House Book Of Vegetables (random House Gardening),The Random House Book Of Vegetables (random House Gardening)
23,['Random House'],Paperback,1992,1,https://images.isbndb.com/covers/57/01/9780679415701.jpg,067941570x,9780679415701.0,7,1992,Random House Reference,['Gazetteers'],,Random House Geographical Dictionary (random House Pocket Dictionaries And Guides),Random House Geographical Dictionary (random House Pocket Dictionaries And Guides)
24,['Random House Staff'],,April 1985,,https://images.isbndb.com/covers/21/02/9780394542102.jpg,039454210X,9780394542102.0,,,"Random House, Inc.",['Literary Collections'],,The Random House College Dictionary and the Random House Thesaurus,the_random_house_college_dictionary_and_the_random_house_thesaurus
25,['Jesse Stein (editor)'],Hardcover,1985,,https://images.isbndb.com/covers/21/02/9780394542102.jpg,039454210x,9780394542102.0,34.4,1985,Random House Inc,,,The Random House College Dictionary And The Random House Thesaurus,The Random House College Dictionary And The Random House Thesaurus
26,['Virginia Glenn Mcdavid'],Paperback,1973,,https://images.isbndb.com/covers/72/58/9780394027258.jpg,0394027256,9780394027258.0,,1973,Random House School Division,"['English Language', 'Usage', 'Handbooks, Manuals, Etc']",,"The Random House English Handbook, (the Random House English Series)","The Random House English Handbook, (the Random House English Series)"
