authors,isbn13,title
"['Miller', 'Frederic P.', 'Vandome', 'Agnes F.', 'McBrewster', 'John']",9786131748523,Random House
['Stanley Newman'],9780812936261,Random House Springtime Crosswords (random House Crosswords)
,9780679733706,Random House Dictionary/random House Rogets Thesaurus
['Unknown'],9780345389879,Random House Webster's Dictionary Random House Thesaurus
['Stanley Newman'],9780812936278,Random House Summer Nights Crosswords (random House Crosswords)
"['Newman', 'Stanley']",9780812936285,Random House Harvest Moon Crosswords (random House Crosswords)
['Dictionary'],9780394534428,Random House Dictionary
['Stanley Newman'],9780812927658,Random House Lexercise
['Crews'],9780070136427,Random House Handbook
['Mel Rosen'],9780812934991,Random House Crosswords
['Mel Rosen'],9780812934151,Random House Crosswords
['Random House'],9780375425875,Random House treasury
['Harry Saffren'],9780394845982,Random House Dollhouse
['Mel Rosen'],9780812935004,Random House Crosswords
['Random House'],9780345377784,Random House Thesaurus
['Frederick Crews'],9780079112521,Random House Handbook
"['Surhone', 'Lambert M.', 'Tennoe', 'Mariam T.', 'Henssonow', 'Susan F.']",9786134693240,Random House Tower
['Michael Ashley'],9780812933901,Random House Crostics
['Mel Rosen'],9780812936735,"Random House Casual Crosswords, Volume 4 (random House Crosswords)"
['Mel Rosen'],9780812936667,"Random House Casual Crosswords, Volume 3 (random House Crosswords)"
"['Mel Rosen', 'Bonnie L. Gentry']",9780375723315,"Random House Casual Crosswords, Volume 7 (random House Crosswords)"
"['Rosen', 'Mel']",9780375723322,"Random House Casual Crosswords, Volume 8 (random House Crosswords)"
['Roger Phillips'],9780679750246,The Random House Book Of Vegetables (random House Gardening)
['Random House'],9780679415701,Random House Geographical Dictionary (random House Pocket Dictionaries And Guides)
['Random House Staff'],9780394542102,The Random House College Dictionary and the Random House Thesaurus
['Random House'],9780375722318,Random House Webster's Large Print Grammar & Usage (random House Reference)
"['Paula Rodenas', 'Paula Roderos']",9780613057561,Random House Book Of Horses And Horsemanship (random House Riders)
['Jesse Stein (editor)'],9780394542102,The Random House College Dictionary And The Random House Thesaurus
['Virginia Glenn Mcdavid'],9780394027258,"The Random House English Handbook, (the Random House English Series)"
['Random House'],9780679415800,Random House Biographical Dictionary (random House Pocket Dictionaries And Guides)
['Danielle Steel'],9780739325971,The House (random House Large Print)
